
======================================================================
EXPERIMENT 5 QUANTITATIVE RESULTS
======================================================================

FILE_ID | MEAN_DEPTH | MAX_DEPTH | MIN_DEPTH | STD_DEPTH | POINTS
000153 | 0.5688 | 0.9654 | 0.0274 | 0.3847 | 122880
000154 | 0.4722 | 0.9784 | 0.0275 | 0.3551 | 122880
000155 | 0.5411 | 0.9800 | 0.0283 | 0.3587 | 122880
000156 | 0.4344 | 0.9697 | 0.0295 | 0.3705 | 122880
000157 | 0.4895 | 0.9780 | 0.0283 | 0.3762 | 122880
000158 | 0.2973 | 0.9729 | 0.0296 | 0.3311 | 122880
000159 | 0.5856 | 0.9810 | 0.0267 | 0.3717 | 122880
000160 | 0.4956 | 0.9657 | 0.0281 | 0.3560 | 122880
000161 | 0.4285 | 0.9795 | 0.0296 | 0.3645 | 122880
000162 | 0.4970 | 0.9731 | 0.0299 | 0.3530 | 122880
000163 | 0.5082 | 0.9775 | 0.0273 | 0.3916 | 122880
000164 | 0.4727 | 0.9704 | 0.0291 | 0.3659 | 122880
000165 | 0.5203 | 0.9818 | 0.0264 | 0.3678 | 122880
000166 | 0.4973 | 0.9692 | 0.0280 | 0.3586 | 122880
000167 | 0.5506 | 0.9735 | 0.0289 | 0.3737 | 122880
000168 | 0.2876 | 0.9696 | 0.0280 | 0.3407 | 122880
000169 | 0.5614 | 0.9763 | 0.0283 | 0.3517 | 122880
000170 | 0.5249 | 0.9658 | 0.0274 | 0.3860 | 122880
000171 | 0.3860 | 0.9728 | 0.0279 | 0.3764 | 122880
000172 | 0.5400 | 0.9809 | 0.0276 | 0.3624 | 122880
000173 | 0.4887 | 0.9786 | 0.0284 | 0.3567 | 122880
000174 | 0.5103 | 0.9695 | 0.0281 | 0.3769 | 122880
000175 | 0.4743 | 0.9763 | 0.0275 | 0.3994 | 122880
000176 | 0.4920 | 0.9815 | 0.0263 | 0.3834 | 122880
000177 | 0.5866 | 0.9790 | 0.0285 | 0.3819 | 122880
000178 | 0.5605 | 0.9776 | 0.0280 | 0.3901 | 122880
000179 | 0.5989 | 0.9734 | 0.0281 | 0.3456 | 122880
000180 | 0.4668 | 0.9677 | 0.0280 | 0.3448 | 122880
000181 | 0.4789 | 0.9790 | 0.0287 | 0.3526 | 122880
000182 | 0.5834 | 0.9715 | 0.0279 | 0.3655 | 122880
000183 | 0.4974 | 0.9756 | 0.0291 | 0.3666 | 122880
000184 | 0.4928 | 0.9681 | 0.0284 | 0.3797 | 122880
000185 | 0.4839 | 0.9731 | 0.0271 | 0.3599 | 122880
000186 | 0.5213 | 0.9765 | 0.0298 | 0.3464 | 122880
000187 | 0.5447 | 0.9735 | 0.0293 | 0.3479 | 122880
000188 | 0.2998 | 0.9774 | 0.0275 | 0.3603 | 122880
000189 | 0.4999 | 0.9701 | 0.0278 | 0.3855 | 122880
000190 | 0.5856 | 0.9839 | 0.0282 | 0.3811 | 122880
000191 | 0.5221 | 0.9683 | 0.0281 | 0.3943 | 122880
000192 | 0.5560 | 0.9738 | 0.0286 | 0.3895 | 122880
000193 | 0.4291 | 0.9647 | 0.0291 | 0.3683 | 122880
000194 | 0.5009 | 0.9706 | 0.0287 | 0.3668 | 122880
000195 | 0.5832 | 0.9749 | 0.0296 | 0.3647 | 122880
000196 | 0.5234 | 0.9611 | 0.0292 | 0.3665 | 122880
000197 | 0.4994 | 0.9801 | 0.0270 | 0.3548 | 122880
000198 | 0.3655 | 0.9829 | 0.0278 | 0.3617 | 122880
000199 | 0.4328 | 0.9667 | 0.0284 | 0.3686 | 122880
000200 | 0.4960 | 0.9808 | 0.0278 | 0.3626 | 122880
000201 | 0.5833 | 0.9825 | 0.0279 | 0.3851 | 122880
000202 | 0.4480 | 0.9627 | 0.0282 | 0.3760 | 122880
000203 | 0.3995 | 0.9767 | 0.0299 | 0.3857 | 122880
000204 | 0.5598 | 0.9813 | 0.0299 | 0.3439 | 122880
000205 | 0.4929 | 0.9763 | 0.0286 | 0.3562 | 122880
000206 | 0.4786 | 0.9615 | 0.0271 | 0.3929 | 122880
000207 | 0.5047 | 0.9799 | 0.0281 | 0.3617 | 122880
000208 | 0.5252 | 0.9830 | 0.0273 | 0.3833 | 122880
000209 | 0.4245 | 0.9670 | 0.0290 | 0.3677 | 122880
000210 | 0.4865 | 0.9678 | 0.0285 | 0.3657 | 122880
000211 | 0.4752 | 0.9800 | 0.0274 | 0.3774 | 122880
000212 | 0.4720 | 0.9824 | 0.0286 | 0.3644 | 122880
000213 | 0.4560 | 0.9812 | 0.0284 | 0.3625 | 122880
000214 | 0.4728 | 0.9646 | 0.0278 | 0.3612 | 122880
000215 | 0.5708 | 0.9747 | 0.0286 | 0.3908 | 122880
000216 | 0.5046 | 0.9695 | 0.0277 | 0.3516 | 122880
000217 | 0.5422 | 0.9819 | 0.0270 | 0.3693 | 122880
000218 | 0.5225 | 0.9804 | 0.0270 | 0.3904 | 122880
000219 | 0.4796 | 0.9758 | 0.0278 | 0.3410 | 122880
000220 | 0.5366 | 0.9749 | 0.0278 | 0.3481 | 122880
000221 | 0.4856 | 0.9772 | 0.0279 | 0.3573 | 122880
000222 | 0.4017 | 0.9754 | 0.0281 | 0.3824 | 122880
000223 | 0.5080 | 0.9702 | 0.0286 | 0.3894 | 122880
000224 | 0.5799 | 0.9755 | 0.0293 | 0.3491 | 122880
000225 | 0.3897 | 0.9703 | 0.0284 | 0.3500 | 122880
000226 | 0.4661 | 0.9729 | 0.0277 | 0.3554 | 122880
000227 | 0.4908 | 0.9836 | 0.0274 | 0.3769 | 122880
000228 | 0.5240 | 0.9733 | 0.0269 | 0.3775 | 122880
000229 | 0.5688 | 0.9684 | 0.0279 | 0.3743 | 122880
000230 | 0.5541 | 0.9784 | 0.0289 | 0.3828 | 122880
000231 | 0.3678 | 0.9703 | 0.0278 | 0.3730 | 122880
000232 | 0.5866 | 0.9777 | 0.0289 | 0.3240 | 122880
000233 | 0.4593 | 0.9757 | 0.0277 | 0.3771 | 122880
000234 | 0.5323 | 0.9793 | 0.0291 | 0.3656 | 122880
000235 | 0.4920 | 0.9656 | 0.0284 | 0.3806 | 122880
000236 | 0.5341 | 0.9660 | 0.0262 | 0.3928 | 122880
000237 | 0.6238 | 0.9764 | 0.0287 | 0.3552 | 122880
000238 | 0.4870 | 0.9713 | 0.0288 | 0.3622 | 122880
000239 | 0.4831 | 0.9758 | 0.0276 | 0.3392 | 122880
000240 | 0.5694 | 0.9758 | 0.0281 | 0.3860 | 122880
000241 | 0.5286 | 0.9777 | 0.0282 | 0.3775 | 122880
000242 | 0.3576 | 0.9802 | 0.0275 | 0.3665 | 122880
000243 | 0.4897 | 0.9809 | 0.0281 | 0.3692 | 122880
000244 | 0.5630 | 0.9841 | 0.0260 | 0.3891 | 122880
000245 | 0.5369 | 0.9794 | 0.0291 | 0.3823 | 122880
000246 | 0.5762 | 0.9797 | 0.0287 | 0.3904 | 122880
000247 | 0.4095 | 0.9687 | 0.0275 | 0.3717 | 122880
000248 | 0.5041 | 0.9769 | 0.0278 | 0.3976 | 122880
000249 | 0.5693 | 0.9813 | 0.0261 | 0.3945 | 122880
000250 | 0.4363 | 0.9712 | 0.0292 | 0.3786 | 122880
000251 | 0.5242 | 0.9769 | 0.0284 | 0.3951 | 122880
000252 | 0.4826 | 0.9755 | 0.0281 | 0.3605 | 122880
000253 | 0.4780 | 0.9722 | 0.0281 | 0.3469 | 122880
000254 | 0.6296 | 0.9779 | 0.0281 | 0.3631 | 122880
000255 | 0.5035 | 0.9840 | 0.0266 | 0.3701 | 122880
000256 | 0.4270 | 0.9723 | 0.0290 | 0.3512 | 122880
000257 | 0.2943 | 0.9748 | 0.0296 | 0.3292 | 122880
000258 | 0.5318 | 0.9782 | 0.0270 | 0.3869 | 122880
000259 | 0.5348 | 0.9737 | 0.0275 | 0.3711 | 122880
000260 | 0.3666 | 0.9693 | 0.0279 | 0.3722 | 122880
000261 | 0.5069 | 0.9655 | 0.0288 | 0.3451 | 122880
000262 | 0.4537 | 0.9753 | 0.0279 | 0.3660 | 122880
000263 | 0.4570 | 0.9723 | 0.0290 | 0.3687 | 122880
000264 | 0.5292 | 0.9813 | 0.0284 | 0.3652 | 122880
000265 | 0.5345 | 0.9730 | 0.0291 | 0.3751 | 122880
000266 | 0.5846 | 0.9788 | 0.0280 | 0.3828 | 122880
000267 | 0.4492 | 0.9696 | 0.0274 | 0.3468 | 122880
000268 | 0.5053 | 0.9778 | 0.0287 | 0.3755 | 122880
000269 | 0.4553 | 0.9815 | 0.0286 | 0.3385 | 122880
000270 | 0.5225 | 0.9816 | 0.0285 | 0.3837 | 122880
000271 | 0.4929 | 0.9703 | 0.0277 | 0.3559 | 122880
000272 | 0.4890 | 0.9667 | 0.0284 | 0.3666 | 122880
000273 | 0.5958 | 0.9750 | 0.0283 | 0.3676 | 122880
000274 | 0.5373 | 0.9828 | 0.0275 | 0.3687 | 122880
000275 | 0.5098 | 0.9773 | 0.0265 | 0.3779 | 122880
000276 | 0.5097 | 0.9663 | 0.0281 | 0.3502 | 122880
000277 | 0.6565 | 0.9829 | 0.0283 | 0.3601 | 122880
000278 | 0.4808 | 0.9687 | 0.0302 | 0.3546 | 122880
000279 | 0.4966 | 0.9787 | 0.0288 | 0.3814 | 122880
000280 | 0.5025 | 0.9726 | 0.0305 | 0.3547 | 122880
000281 | 0.6015 | 0.9691 | 0.0306 | 0.3626 | 122880
000282 | 0.5681 | 0.9813 | 0.0284 | 0.3804 | 122880
000283 | 0.3699 | 0.9791 | 0.0295 | 0.3601 | 122880
000284 | 0.5412 | 0.9808 | 0.0289 | 0.3594 | 122880
000285 | 0.5184 | 0.9761 | 0.0275 | 0.3589 | 122880
000286 | 0.5522 | 0.9790 | 0.0282 | 0.3852 | 122880
000287 | 0.5765 | 0.9772 | 0.0285 | 0.3679 | 122880
000288 | 0.4503 | 0.9708 | 0.0290 | 0.3688 | 122880
000289 | 0.5734 | 0.9711 | 0.0281 | 0.3965 | 122880
000290 | 0.4554 | 0.9696 | 0.0290 | 0.3687 | 122880
000291 | 0.5059 | 0.9755 | 0.0268 | 0.3821 | 122880
000292 | 0.5639 | 0.9814 | 0.0276 | 0.3476 | 122880
000293 | 0.4962 | 0.9819 | 0.0274 | 0.4023 | 122880
000294 | 0.4227 | 0.9660 | 0.0291 | 0.3662 | 122880
000295 | 0.5146 | 0.9709 | 0.0276 | 0.3566 | 122880
000296 | 0.5646 | 0.9749 | 0.0281 | 0.3697 | 122880
000297 | 0.3427 | 0.9700 | 0.0275 | 0.3614 | 122880
000298 | 0.4319 | 0.9646 | 0.0295 | 0.3687 | 122880
000299 | 0.5162 | 0.9694 | 0.0272 | 0.4063 | 122880
000300 | 0.2948 | 0.9747 | 0.0296 | 0.3295 | 122880
000301 | 0.5396 | 0.9811 | 0.0276 | 0.3942 | 122880
000302 | 0.5597 | 0.9778 | 0.0289 | 0.3857 | 122880
000303 | 0.5454 | 0.9774 | 0.0288 | 0.3693 | 122880
000304 | 0.5705 | 0.9821 | 0.0271 | 0.3800 | 122880
000305 | 0.5600 | 0.9761 | 0.0288 | 0.3843 | 122880
000306 | 0.4688 | 0.9739 | 0.0279 | 0.3560 | 122880
000307 | 0.5450 | 0.9760 | 0.0289 | 0.3771 | 122880
000308 | 0.4128 | 0.9745 | 0.0277 | 0.3707 | 122880
000309 | 0.5341 | 0.9740 | 0.0280 | 0.3947 | 122880
000310 | 0.6463 | 0.9809 | 0.0286 | 0.3805 | 122880
000311 | 0.5951 | 0.9745 | 0.0270 | 0.3949 | 122880
