step,train_logits_fake_step
24999,-0.2987216114997864
25049,-0.26516368985176086
25099,-0.2925688624382019
25149,-0.30273616313934326
25199,-0.29957112669944763
25249,-0.3436926603317261
25299,-0.29822736978530884
25349,-0.23940055072307587
25399,-0.2995111644268036
25449,-0.26296713948249817
25499,-0.2931383550167084
25549,-0.32549986243247986
25599,-0.31949445605278015
25649,-0.261096328496933
25699,-0.3148723244667053
25749,-0.28176242113113403
25799,-0.2789793908596039
25849,-0.2666832208633423
25899,-0.3065791726112366
25949,-0.2830933928489685
25999,-0.3225542902946472
26049,-0.3483813405036926
26099,-0.29747888445854187
26149,-0.3054478168487549
26199,-0.2917039692401886
26249,-0.3067459464073181
26299,-0.3582482635974884
26349,-0.254403680562973
26399,-0.3235814571380615
26449,-0.24001549184322357
26499,-0.3482975661754608
26549,-0.3196943402290344
26599,-0.26725131273269653
26649,-0.2833385467529297
26699,-0.33793917298316956
26749,-0.33500173687934875
26799,-0.3484586477279663
26849,-0.3016020953655243
26899,-0.23790577054023743
26949,-0.2895285189151764
26999,-0.3141780197620392
27049,-0.3155341148376465
27099,-0.2568964660167694
27149,-0.296285480260849
27199,-0.33870744705200195
27249,-0.33080393075942993
27299,-0.28483670949935913
27349,-0.3238329589366913
27399,-0.33303600549697876
27449,-0.2830842435359955
27499,-0.328723281621933
27549,-0.2699020504951477
27599,-0.2913997173309326
27649,-0.32998642325401306
27699,-0.2909320294857025
27749,-0.30528509616851807
27799,-0.3292728066444397
27849,-0.3448373079299927
27899,-0.27439436316490173
27949,-0.32509034872055054
27999,-0.31328052282333374
28049,-0.25165611505508423
28099,-0.24913552403450012
28149,-0.3112488389015198
28199,-0.23038320243358612
28249,-0.3106286823749542
28299,-0.3209872841835022
28349,-0.33078259229660034
28399,-0.28518587350845337
28449,-0.3098250925540924
28499,-0.2981393039226532
28549,-0.3283349275588989
28599,-0.3292819857597351
28649,-0.2820912003517151
28699,-0.288485050201416
28749,-0.28229275345802307
28799,-0.29419049620628357
28849,-0.2886344790458679
28899,-0.281961053609848
28949,-0.2595483958721161
28999,-0.3154071271419525
29049,-0.34851518273353577
29099,-0.32426902651786804
29149,-0.2826613187789917
29199,-0.3207956850528717
29249,-0.24290207028388977
29299,-0.321027010679245
29349,-0.32771700620651245
29399,-0.2533269226551056
29449,-0.3355233371257782
29499,-0.30960920453071594
29549,-0.32014983892440796
29599,-0.31549662351608276
29649,-0.2601337730884552
29699,-0.31260156631469727
29749,-0.30625414848327637
29799,-0.30468857288360596
29849,-0.335714191198349
29899,-0.3062420189380646
29949,-0.30077147483825684
29999,-0.3126772344112396
30049,-0.32724297046661377
30099,-0.29600048065185547
30149,-0.3064325153827667
30199,-0.2868322432041168
30249,-0.2951209247112274
30299,-0.33761096000671387
30349,-0.308903306722641
30399,-0.3147425353527069
30449,-0.3132278323173523
30499,-0.3286173343658447
30549,-0.3229840397834778
30599,-0.27732735872268677
30649,-0.3002108633518219
30699,-0.28703615069389343
30749,-0.31058764457702637
30799,-0.30357328057289124
30849,-0.23139016330242157
30899,-0.3297353684902191
30949,-0.29121115803718567
30999,-0.30577000975608826
31049,-0.3041989803314209
31099,-0.28891515731811523
31149,-0.30749884247779846
31199,-0.3472221791744232
31249,-0.32793498039245605
31299,-0.285356342792511
31349,-0.26886048913002014
31399,-0.2834383547306061
31449,-0.2903074026107788
31499,-0.2521841824054718
31549,-0.29256531596183777
31599,-0.34301668405532837
31649,-0.2625369131565094
31699,-0.3035719096660614
31749,-0.32305634021759033
31799,-0.28487274050712585
31849,-0.32550325989723206
31899,-0.27346503734588623
31949,-0.2572658658027649
31999,-0.29671812057495117
32049,-0.26707127690315247
32099,-0.24831680953502655
32149,-0.2741609513759613
32199,-0.23160812258720398
32249,-0.3019237816333771
32299,-0.23251579701900482
32349,-0.3135503828525543
32399,-0.30619746446609497
32449,-0.34548109769821167
32499,-0.3150228261947632
32549,-0.3251652121543884
32599,-0.2742263376712799
32649,-0.21927940845489502
32699,-0.34273192286491394
32749,-0.26658448576927185
32799,-0.25608840584754944
32849,-0.3317713141441345
32899,-0.3072816729545593
32949,-0.2953590452671051
32999,-0.2911570966243744
33049,-0.28797972202301025
33099,-0.30621472001075745
33149,-0.30646422505378723
33199,-0.32546985149383545
33249,-0.2915656566619873
33299,-0.26258763670921326
33349,-0.2643486559391022
33399,-0.33396685123443604
33449,-0.3018573224544525
33499,-0.2606920301914215
33549,-0.34316110610961914
33599,-0.32014739513397217
33649,-0.33304858207702637
33699,-0.30542388558387756
33749,-0.3192899227142334
33799,-0.3235814571380615
33849,-0.3115728497505188
33899,-0.3158617615699768
33949,-0.3277016282081604
33999,-0.3343764841556549
34049,-0.2673381268978119
34099,-0.29046884179115295
34149,-0.3126644790172577
34199,-0.24815915524959564
34249,-0.30368492007255554
34299,-0.35766762495040894
34349,-0.33320286870002747
34399,-0.31572648882865906
34449,-0.3134487271308899
34499,-0.2716034948825836
34549,-0.33767375349998474
34599,-0.32042354345321655
34649,-0.3075961172580719
34699,-0.2722793519496918
34749,-0.26791951060295105
34799,-0.331757128238678
34849,-0.2595241069793701
34899,-0.2278873175382614
34949,-0.3332030475139618
34999,-0.30034056305885315
35049,-0.36341235041618347
35099,-0.30420997738838196
35149,-0.2613200843334198
35199,-0.33418434858322144
35249,-0.32591480016708374
35299,-0.3326374888420105
35349,-0.314314603805542
35399,-0.3372981548309326
35449,-0.3066790997982025
35499,-0.32615843415260315
35549,-0.296922504901886
35599,-0.32887932658195496
35649,-0.3338102698326111
35699,-0.3227975070476532
35749,-0.30429908633232117
35799,-0.32866060733795166
35849,-0.26903632283210754
35899,-0.3026120662689209
35949,-0.2880656123161316
35999,-0.28225797414779663
36049,-0.2917720675468445
36099,-0.2984447777271271
36149,-0.30009955167770386
36199,-0.30602893233299255
36249,-0.28550565242767334
36299,-0.3069016635417938
36349,-0.2994174063205719
36399,-0.3030730187892914
36449,-0.3457607626914978
36499,-0.3015483319759369
36549,-0.29647138714790344
36599,-0.3373773396015167
36649,-0.26679855585098267
36699,-0.23870889842510223
36749,-0.31930407881736755
36799,-0.29886990785598755
36849,-0.31467169523239136
36899,-0.2863852083683014
36949,-0.3125763535499573
36999,-0.310344398021698
37049,-0.31864839792251587
37099,-0.31015339493751526
37149,-0.30912888050079346
37199,-0.3019755780696869
37249,-0.30786749720573425
37299,-0.2921036183834076
37349,-0.32675427198410034
37399,-0.30239370465278625
37449,-0.2534724473953247
37499,-0.2627350687980652
37549,-0.31594040989875793
37599,-0.2998252511024475
37649,-0.3001604378223419
37699,-0.3400444984436035
37749,-0.23359255492687225
37799,-0.3022798001766205
37849,-0.3115440011024475
37899,-0.30733299255371094
37949,-0.3363535404205322
37999,-0.3265678286552429
38049,-0.3541735112667084
38099,-0.309154748916626
38149,-0.2994808852672577
38199,-0.29477065801620483
38249,-0.2911706268787384
38299,-0.28937655687332153
38349,-0.2802860140800476
38399,-0.35074108839035034
38449,-0.2916571795940399
38499,-0.3186762034893036
38549,-0.32122451066970825
38599,-0.3281557559967041
38649,-0.22869373857975006
38699,-0.3266949951648712
38749,-0.30782660841941833
38799,-0.3000873029232025
38849,-0.302728533744812
38899,-0.3298889398574829
38949,-0.28481966257095337
38999,-0.28279784321784973
39049,-0.3434812128543854
39099,-0.28342732787132263
39149,-0.2822774350643158
39199,-0.33740493655204773
39249,-0.3144490718841553
39299,-0.29942354559898376
39349,-0.2873353958129883
39399,-0.29851189255714417
39449,-0.28591668605804443
39499,-0.320019006729126
39549,-0.3234047293663025
39599,-0.30347031354904175
39649,-0.3279172480106354
39699,-0.30434316396713257
39749,-0.3362728953361511
39799,-0.28107160329818726
39849,-0.2700090706348419
39899,-0.30648335814476013
39949,-0.3239530324935913
39999,-0.30926358699798584
40049,-0.31332579255104065
40099,-0.29784131050109863
40149,-0.29091766476631165
40199,-0.29188475012779236
40249,-0.264426052570343
40299,-0.3218061625957489
40349,-0.29090964794158936
40399,-0.306281179189682
40449,-0.31616830825805664
40499,-0.3314794898033142
40549,-0.26976045966148376
40599,-0.31304311752319336
40649,-0.3245084285736084
40699,-0.3445590138435364
40749,-0.3466143310070038
40799,-0.2998192608356476
40849,-0.28994014859199524
40899,-0.2797994017601013
40949,-0.3131181597709656
40999,-0.34958767890930176
41049,-0.3348894715309143
41099,-0.34133926033973694
41149,-0.3333990275859833
41199,-0.2925855219364166
41249,-0.30825042724609375
41299,-0.3556898832321167
41349,-0.32091715931892395
41399,-0.28505149483680725
41449,-0.3120274245738983
41499,-0.3070882260799408
41549,-0.28604501485824585
41599,-0.2858836054801941
41649,-0.2960800528526306
41699,-0.2857550084590912
41749,-0.3104652166366577
41799,-0.2746727466583252
41849,-0.31508153676986694
41899,-0.28981903195381165
41949,-0.31862810254096985
41999,-0.2945783734321594
42049,-0.28679272532463074
42099,-0.30455896258354187
42149,-0.3100840151309967
42199,-0.3017025589942932
42249,-0.2698587477207184
42299,-0.3166108727455139
42349,-0.2966410517692566
42399,-0.2085825502872467
42449,-0.30596640706062317
42499,-0.2728673219680786
42549,-0.32052600383758545
42599,-0.3523303270339966
42649,-0.3054281771183014
42699,-0.3388650119304657
42749,-0.25173062086105347
42799,-0.3002915382385254
42849,-0.33165180683135986
42899,-0.3230889141559601
42949,-0.284115731716156
42999,-0.31292614340782166
43049,-0.313794881105423
43099,-0.2834984362125397
43149,-0.23697403073310852
43199,-0.34468933939933777
43249,-0.3088242709636688
43299,-0.2952112853527069
43349,-0.32736819982528687
43399,-0.34616103768348694
43449,-0.36447352170944214
43499,-0.3237287700176239
43549,-0.31713441014289856
43599,-0.32268819212913513
43649,-0.3170556128025055
43699,-0.30525872111320496
43749,-0.3009686768054962
43799,-0.26206058263778687
43849,-0.31139206886291504
43899,-0.3073195517063141
43949,-0.31605374813079834
43999,-0.26464763283729553
44049,-0.2799760401248932
44099,-0.28906798362731934
44149,-0.2908034026622772
44199,-0.25472649931907654
44249,-0.31761786341667175
44299,-0.2648790776729584
44349,-0.29319843649864197
44399,-0.3370419144630432
44449,-0.3001861870288849
44499,-0.30127817392349243
44549,-0.33575373888015747
44599,-0.300924688577652
44649,-0.3459923565387726
44699,-0.31907933950424194
44749,-0.34950271248817444
44799,-0.29959625005722046
44849,-0.3284163773059845
44899,-0.24409981071949005
44949,-0.3032812178134918
44999,-0.328220933675766
45049,-0.3213958144187927
45099,-0.3297048807144165
45149,-0.3170391917228699
45199,-0.22669926285743713
45249,-0.2545691430568695
45299,-0.30393555760383606
45349,-0.25319504737854004
45399,-0.34644022583961487
45449,-0.30556365847587585
45499,-0.2851928472518921
45549,-0.26535481214523315
45599,-0.32294389605522156
45649,-0.29804205894470215
45699,-0.2708906829357147
45749,-0.28286266326904297
45799,-0.3160695731639862
45849,-0.3128860890865326
45899,-0.31071218848228455
45949,-0.29378193616867065
45999,-0.325340211391449
46049,-0.2882291078567505
46099,-0.3088505268096924
46149,-0.2715862989425659
46199,-0.3180413842201233
46249,-0.3280359208583832
46299,-0.3455980122089386
46349,-0.3339473009109497
46399,-0.30723345279693604
46449,-0.2888481616973877
46499,-0.31281858682632446
46549,-0.2332441806793213
46599,-0.3256300687789917
46649,-0.3031691610813141
46699,-0.31651195883750916
46749,-0.28294676542282104
46799,-0.32366400957107544
46849,-0.31185993552207947
46899,-0.31874603033065796
46949,-0.24687589704990387
46999,-0.2712184190750122
47049,-0.29297879338264465
47099,-0.29804813861846924
47149,-0.23239970207214355
47199,-0.30757975578308105
47249,-0.2722053527832031
47299,-0.2592398226261139
47349,-0.31653204560279846
47399,-0.292000949382782
47449,-0.29861876368522644
47499,-0.3309340178966522
47549,-0.2822403311729431
47599,-0.3205590844154358
47649,-0.34277769923210144
47699,-0.31206580996513367
47749,-0.3501921594142914
47799,-0.32535579800605774
47849,-0.3273695409297943
47899,-0.3431335687637329
47949,-0.3096241056919098
47999,-0.2827829420566559
48049,-0.2943999469280243
48099,-0.3271898031234741
48149,-0.29683107137680054
48199,-0.29057976603507996
48249,-0.31295526027679443
48299,-0.256330281496048
48349,-0.334273099899292
48399,-0.2790965735912323
48449,-0.3271482288837433
48499,-0.35205745697021484
48549,-0.26860398054122925
48599,-0.32693812251091003
48649,-0.3226473331451416
48699,-0.3218437433242798
48749,-0.33665478229522705
48799,-0.2445479780435562
48849,-0.3292490243911743
48899,-0.3234766721725464
48949,-0.29825499653816223
48999,-0.2670403718948364
49049,-0.30698418617248535
49099,-0.27609771490097046
49149,-0.25351595878601074
49199,-0.2636857330799103
49249,-0.31037235260009766
49299,-0.31427985429763794
49349,-0.32091981172561646
49399,-0.3091048002243042
49449,-0.31728067994117737
49499,-0.30025678873062134
49549,-0.3373865783214569
49599,-0.3237912654876709
49649,-0.3080815076828003
49699,-0.26728716492652893
49749,-0.30147483944892883
49799,-0.2900334894657135
49849,-0.3164204955101013
49899,-0.29026883840560913
49949,-0.31101641058921814
49999,-0.2541658580303192
50049,-0.29072991013526917
50099,-0.29312989115715027
50149,-0.2668395936489105
50199,-0.2828291654586792
50249,-0.3284527659416199
50299,-0.3231237530708313
50349,-0.3319564759731293
50399,-0.2914084792137146
50449,-0.34561049938201904
50499,-0.29056987166404724
50549,-0.3547765612602234
50599,-0.2937217056751251
50649,-0.2849220037460327
50699,-0.3067125082015991
50749,-0.3296765089035034
50799,-0.2806870937347412
50849,-0.22814375162124634
50899,-0.3588469326496124
50949,-0.2986145615577698
50999,-0.33960261940956116
51049,-0.26710599660873413
51099,-0.2969842255115509
51149,-0.30419591069221497
51199,-0.2948544919490814
51249,-0.2696646749973297
51299,-0.2732771337032318
51349,-0.24940499663352966
51399,-0.28487008810043335
51449,-0.3191201388835907
51499,-0.3155685067176819
51549,-0.3169659972190857
51599,-0.2884393334388733
51649,-0.30202850699424744
51699,-0.2873475253582001
51749,-0.3214883506298065
51799,-0.3423271179199219
51849,-0.3009996712207794
51899,-0.3310921788215637
51949,-0.3170175552368164
51999,-0.2881595492362976
52049,-0.26970165967941284
52099,-0.3241975009441376
52149,-0.29123586416244507
52199,-0.2616060972213745
52249,-0.2996916174888611
52299,-0.21782788634300232
52349,-0.2966429591178894
52399,-0.31879982352256775
52449,-0.3122384250164032
52499,-0.3153195083141327
52549,-0.287627249956131
52599,-0.3333525061607361
52649,-0.3152753412723541
52699,-0.33428511023521423
52749,-0.3139879107475281
52799,-0.2881079614162445
52849,-0.32921305298805237
52899,-0.2729562819004059
52949,-0.26312416791915894
52999,-0.3125159740447998
53049,-0.26982972025871277
53099,-0.31667378544807434
53149,-0.28936657309532166
53199,-0.2962343692779541
53249,-0.2964346706867218
53299,-0.3377799391746521
53349,-0.2740919589996338
53399,-0.32956838607788086
53449,-0.3081926107406616
53499,-0.3378566801548004
53549,-0.29446250200271606
53599,-0.27126356959342957
53649,-0.3217748701572418
53699,-0.3129865229129791
53749,-0.26887673139572144
53799,-0.2732324004173279
53849,-0.30881792306900024
53899,-0.29639068245887756
53949,-0.2964329719543457
