step,epoch
29049,34.0
29099,34.0
29149,34.0
29199,34.0
29249,34.0
29299,34.0
29349,34.0
29399,34.0
29449,34.0
29469,34.0
29469,34.0
29499,35.0
29549,35.0
29599,35.0
29649,35.0
29699,35.0
29749,35.0
29799,35.0
29849,35.0
29899,35.0
29949,35.0
29999,35.0
30049,35.0
30099,35.0
30149,35.0
30199,35.0
30249,35.0
30299,35.0
30311,35.0
30311,35.0
30349,36.0
30399,36.0
30449,36.0
30499,36.0
30549,36.0
30599,36.0
30649,36.0
30699,36.0
30749,36.0
30799,36.0
30849,36.0
30899,36.0
30949,36.0
30999,36.0
31049,36.0
31099,36.0
31149,36.0
31153,36.0
31153,36.0
31199,37.0
31249,37.0
31299,37.0
31349,37.0
31399,37.0
31449,37.0
31499,37.0
31549,37.0
31599,37.0
31649,37.0
31699,37.0
31749,37.0
31799,37.0
31849,37.0
31899,37.0
31949,37.0
31995,37.0
31995,37.0
31999,38.0
32049,38.0
32099,38.0
32149,38.0
32199,38.0
32249,38.0
32299,38.0
32349,38.0
32399,38.0
32449,38.0
32499,38.0
32549,38.0
32599,38.0
32649,38.0
32699,38.0
32749,38.0
32799,38.0
32837,38.0
32837,38.0
32849,39.0
32899,39.0
32949,39.0
32999,39.0
33049,39.0
33099,39.0
33149,39.0
33199,39.0
33249,39.0
33299,39.0
33349,39.0
33399,39.0
33449,39.0
33499,39.0
33549,39.0
33599,39.0
33649,39.0
33679,39.0
33679,39.0
33699,40.0
33749,40.0
33799,40.0
33849,40.0
33899,40.0
33949,40.0
33999,40.0
34049,40.0
34099,40.0
34149,40.0
34199,40.0
34249,40.0
34299,40.0
34349,40.0
34399,40.0
34449,40.0
34499,40.0
34521,40.0
34521,40.0
34549,41.0
34599,41.0
34649,41.0
34699,41.0
34749,41.0
34799,41.0
34849,41.0
34899,41.0
34949,41.0
34999,41.0
35049,41.0
35099,41.0
35149,41.0
35199,41.0
35249,41.0
35299,41.0
35349,41.0
35363,41.0
35363,41.0
35399,42.0
35449,42.0
35499,42.0
35549,42.0
35599,42.0
35649,42.0
35699,42.0
35749,42.0
35799,42.0
35849,42.0
35899,42.0
35949,42.0
35999,42.0
36049,42.0
36099,42.0
36149,42.0
36199,42.0
36205,42.0
36205,42.0
36249,43.0
36299,43.0
36349,43.0
36399,43.0
36449,43.0
36499,43.0
36549,43.0
36599,43.0
36649,43.0
36699,43.0
36749,43.0
36799,43.0
36849,43.0
36899,43.0
36949,43.0
36999,43.0
37047,43.0
37047,43.0
37049,44.0
37099,44.0
37149,44.0
37199,44.0
37249,44.0
37299,44.0
37349,44.0
37399,44.0
37449,44.0
37499,44.0
37549,44.0
37599,44.0
37649,44.0
37699,44.0
37749,44.0
37799,44.0
37849,44.0
37889,44.0
37889,44.0
37899,45.0
37949,45.0
37999,45.0
38049,45.0
38099,45.0
38149,45.0
38199,45.0
38249,45.0
38299,45.0
38349,45.0
38399,45.0
38449,45.0
38499,45.0
38549,45.0
38599,45.0
38649,45.0
38699,45.0
38731,45.0
38731,45.0
38749,46.0
38799,46.0
38849,46.0
38899,46.0
38949,46.0
38999,46.0
39049,46.0
39099,46.0
39149,46.0
39199,46.0
39249,46.0
39299,46.0
39349,46.0
39399,46.0
39449,46.0
39499,46.0
39549,46.0
39573,46.0
39573,46.0
39599,47.0
39649,47.0
39699,47.0
39749,47.0
39799,47.0
39849,47.0
39899,47.0
39949,47.0
39999,47.0
40049,47.0
40099,47.0
40149,47.0
40199,47.0
40249,47.0
40299,47.0
40349,47.0
40399,47.0
40415,47.0
40415,47.0
40449,48.0
40499,48.0
40549,48.0
40599,48.0
40649,48.0
40699,48.0
40749,48.0
40799,48.0
40849,48.0
40899,48.0
40949,48.0
40999,48.0
41049,48.0
41099,48.0
41149,48.0
41199,48.0
41249,48.0
41257,48.0
41257,48.0
41299,49.0
41349,49.0
41399,49.0
41449,49.0
41499,49.0
41549,49.0
41599,49.0
41649,49.0
41699,49.0
41749,49.0
41799,49.0
41849,49.0
41899,49.0
41949,49.0
41999,49.0
42049,49.0
42099,49.0
42099,49.0
42099,49.0
42149,50.0
42199,50.0
42249,50.0
42299,50.0
42349,50.0
42399,50.0
42449,50.0
42499,50.0
42549,50.0
42599,50.0
42649,50.0
42699,50.0
42749,50.0
42799,50.0
42849,50.0
42899,50.0
42941,50.0
42941,50.0
42949,51.0
42999,51.0
43049,51.0
43099,51.0
43149,51.0
43199,51.0
43249,51.0
43299,51.0
43349,51.0
43399,51.0
43449,51.0
43499,51.0
43549,51.0
43599,51.0
43649,51.0
43699,51.0
43749,51.0
43783,51.0
43783,51.0
43799,52.0
43849,52.0
43899,52.0
43949,52.0
43999,52.0
44049,52.0
44099,52.0
44149,52.0
44199,52.0
44249,52.0
44299,52.0
44349,52.0
44399,52.0
44449,52.0
44499,52.0
44549,52.0
44599,52.0
44625,52.0
44625,52.0
44649,53.0
44699,53.0
44749,53.0
44799,53.0
44849,53.0
44899,53.0
44949,53.0
44999,53.0
45049,53.0
45099,53.0
45149,53.0
45199,53.0
45249,53.0
45299,53.0
45349,53.0
45399,53.0
45449,53.0
45467,53.0
45467,53.0
45499,54.0
45549,54.0
45599,54.0
45649,54.0
45699,54.0
45749,54.0
45799,54.0
45849,54.0
45899,54.0
45949,54.0
45999,54.0
46049,54.0
46099,54.0
46149,54.0
46199,54.0
46249,54.0
46299,54.0
46309,54.0
46309,54.0
46349,55.0
46399,55.0
46449,55.0
46499,55.0
46549,55.0
46599,55.0
46649,55.0
46699,55.0
46749,55.0
46799,55.0
46849,55.0
46899,55.0
46949,55.0
46999,55.0
47049,55.0
47099,55.0
47149,55.0
47151,55.0
47151,55.0
47199,56.0
47249,56.0
47299,56.0
47349,56.0
47399,56.0
47449,56.0
47499,56.0
47549,56.0
47599,56.0
47649,56.0
47699,56.0
47749,56.0
47799,56.0
47849,56.0
47899,56.0
47949,56.0
47993,56.0
47993,56.0
47999,57.0
48049,57.0
48099,57.0
48149,57.0
48199,57.0
48249,57.0
48299,57.0
48349,57.0
48399,57.0
48449,57.0
48499,57.0
48549,57.0
48599,57.0
48649,57.0
48699,57.0
48749,57.0
48799,57.0
48835,57.0
48835,57.0
48849,58.0
48899,58.0
48949,58.0
48999,58.0
49049,58.0
49099,58.0
49149,58.0
49199,58.0
49249,58.0
49299,58.0
49349,58.0
49399,58.0
49449,58.0
49499,58.0
49549,58.0
49599,58.0
49649,58.0
49677,58.0
49677,58.0
49699,59.0
49749,59.0
49799,59.0
49849,59.0
49899,59.0
49949,59.0
49999,59.0
50049,59.0
50099,59.0
50149,59.0
50199,59.0
50249,59.0
50299,59.0
50349,59.0
50399,59.0
50449,59.0
50499,59.0
50519,59.0
50519,59.0
50549,60.0
50599,60.0
50649,60.0
50699,60.0
50749,60.0
50799,60.0
50849,60.0
50899,60.0
50949,60.0
50999,60.0
51049,60.0
51099,60.0
51149,60.0
51199,60.0
51249,60.0
51299,60.0
51349,60.0
51361,60.0
51361,60.0
51399,61.0
51449,61.0
51499,61.0
51549,61.0
51599,61.0
51649,61.0
51699,61.0
51749,61.0
51799,61.0
51849,61.0
51899,61.0
51949,61.0
51999,61.0
52049,61.0
52099,61.0
52149,61.0
52199,61.0
52203,61.0
52203,61.0
52249,62.0
52299,62.0
52349,62.0
52399,62.0
52449,62.0
52499,62.0
52549,62.0
52599,62.0
52649,62.0
52699,62.0
52749,62.0
52799,62.0
52849,62.0
52899,62.0
52949,62.0
52999,62.0
53045,62.0
53045,62.0
53049,63.0
53099,63.0
53149,63.0
53199,63.0
53249,63.0
53299,63.0
53349,63.0
53399,63.0
53449,63.0
53499,63.0
53549,63.0
53599,63.0
53649,63.0
53699,63.0
53749,63.0
53799,63.0
53849,63.0
53887,63.0
53887,63.0
53899,64.0
53949,64.0
53999,64.0
54049,64.0
54099,64.0
54149,64.0
54199,64.0
54249,64.0
54299,64.0
54349,64.0
54399,64.0
54449,64.0
54499,64.0
54549,64.0
54599,64.0
54649,64.0
54699,64.0
54729,64.0
54729,64.0
54749,65.0
54799,65.0
54849,65.0
54899,65.0
54949,65.0
54999,65.0
55049,65.0
55099,65.0
55149,65.0
55199,65.0
55249,65.0
55299,65.0
55349,65.0
55399,65.0
55449,65.0
55499,65.0
55549,65.0
55571,65.0
55571,65.0
55599,66.0
55649,66.0
55699,66.0
55749,66.0
55799,66.0
55849,66.0
55899,66.0
55949,66.0
55999,66.0
56049,66.0
56099,66.0
56149,66.0
56199,66.0
56249,66.0
56299,66.0
56349,66.0
56399,66.0
56413,66.0
56413,66.0
56449,67.0
56499,67.0
56549,67.0
56599,67.0
56649,67.0
56699,67.0
56749,67.0
56799,67.0
56849,67.0
56899,67.0
56949,67.0
56999,67.0
57049,67.0
57099,67.0
57149,67.0
57199,67.0
57249,67.0
57255,67.0
57255,67.0
57299,68.0
57349,68.0
57399,68.0
57449,68.0
57499,68.0
57549,68.0
57599,68.0
57649,68.0
57699,68.0
57749,68.0
57799,68.0
57849,68.0
57899,68.0
57949,68.0
57999,68.0
58049,68.0
58097,68.0
58097,68.0
58099,69.0
58149,69.0
58199,69.0
58249,69.0
58299,69.0
58349,69.0
58399,69.0
58449,69.0
58499,69.0
58549,69.0
58599,69.0
58649,69.0
58699,69.0
58749,69.0
58799,69.0
58849,69.0
58899,69.0
58939,69.0
58939,69.0
58949,70.0
58999,70.0
59049,70.0
59099,70.0
59149,70.0
59199,70.0
59249,70.0
59299,70.0
59349,70.0
59399,70.0
59449,70.0
59499,70.0
59549,70.0
59599,70.0
59649,70.0
59699,70.0
59749,70.0
59781,70.0
59781,70.0
59799,71.0
59849,71.0
59899,71.0
59949,71.0
59999,71.0
60049,71.0
60099,71.0
60149,71.0
60199,71.0
60249,71.0
60299,71.0
60349,71.0
60399,71.0
60449,71.0
60499,71.0
60549,71.0
60599,71.0
60623,71.0
60623,71.0
60649,72.0
60699,72.0
60749,72.0
60799,72.0
60849,72.0
60899,72.0
60949,72.0
60999,72.0
61049,72.0
61099,72.0
61149,72.0
61199,72.0
61249,72.0
61299,72.0
61349,72.0
61399,72.0
61449,72.0
61465,72.0
61465,72.0
61499,73.0
61549,73.0
61599,73.0
61649,73.0
61699,73.0
61749,73.0
61799,73.0
61849,73.0
61899,73.0
61949,73.0
61999,73.0
62049,73.0
62099,73.0
62149,73.0
62199,73.0
62249,73.0
62299,73.0
62307,73.0
62307,73.0
62349,74.0
62399,74.0
62449,74.0
62499,74.0
62549,74.0
62599,74.0
62649,74.0
62699,74.0
62749,74.0
62799,74.0
62849,74.0
62899,74.0
62949,74.0
62999,74.0
63049,74.0
63099,74.0
63149,74.0
63149,74.0
63149,74.0
63199,75.0
63249,75.0
63299,75.0
63349,75.0
63399,75.0
63449,75.0
63499,75.0
63549,75.0
63599,75.0
63649,75.0
63699,75.0
63749,75.0
63799,75.0
63849,75.0
63899,75.0
63949,75.0
63991,75.0
63991,75.0
63999,76.0
64049,76.0
64099,76.0
64149,76.0
64199,76.0
64249,76.0
64299,76.0
64349,76.0
64399,76.0
