
======================================================================
EXPERIMENT 5 QUANTITATIVE RESULTS
======================================================================

FILE_ID | MEAN_DEPTH | MAX_DEPTH | MIN_DEPTH | STD_DEPTH | POINTS
000253 | 0.4092 | 0.9745 | 0.0260 | 0.4082 | 98304
000254 | 0.5113 | 0.9808 | 0.0278 | 0.3746 | 98304
000255 | 0.5419 | 0.9785 | 0.0285 | 0.3791 | 98304
000256 | 0.5555 | 0.9733 | 0.0282 | 0.3481 | 98304
000257 | 0.5778 | 0.9779 | 0.0274 | 0.3419 | 98304
000258 | 0.4552 | 0.9838 | 0.0292 | 0.3561 | 98304
000259 | 0.6052 | 0.9687 | 0.0305 | 0.3246 | 98304
000260 | 0.4722 | 0.9816 | 0.0280 | 0.3652 | 98304
000261 | 0.5264 | 0.9591 | 0.0278 | 0.3492 | 98304
000262 | 0.4672 | 0.9828 | 0.0280 | 0.3442 | 98304
000263 | 0.5780 | 0.9733 | 0.0273 | 0.3583 | 98304
000264 | 0.4272 | 0.9802 | 0.0282 | 0.3681 | 98304
000265 | 0.5160 | 0.9818 | 0.0276 | 0.3873 | 98304
000266 | 0.5123 | 0.9826 | 0.0278 | 0.3930 | 98304
000267 | 0.5136 | 0.9704 | 0.0291 | 0.3621 | 98304
000268 | 0.5000 | 0.9755 | 0.0279 | 0.3646 | 98304
000269 | 0.5999 | 0.9785 | 0.0280 | 0.3831 | 98304
000270 | 0.6136 | 0.9723 | 0.0285 | 0.3844 | 98304
000271 | 0.5358 | 0.9752 | 0.0291 | 0.3545 | 98304
000272 | 0.4888 | 0.9715 | 0.0267 | 0.3966 | 98304
000273 | 0.5488 | 0.9787 | 0.0283 | 0.3513 | 98304
000274 | 0.6046 | 0.9770 | 0.0275 | 0.3590 | 98304
000275 | 0.4480 | 0.9774 | 0.0291 | 0.3603 | 98304
000276 | 0.6117 | 0.9818 | 0.0279 | 0.3786 | 98304
000277 | 0.4568 | 0.9811 | 0.0277 | 0.3575 | 98304
000278 | 0.3834 | 0.9750 | 0.0269 | 0.3526 | 98304
000279 | 0.4894 | 0.9639 | 0.0283 | 0.3494 | 98304
000280 | 0.5355 | 0.9650 | 0.0302 | 0.3682 | 98304
000281 | 0.5799 | 0.9757 | 0.0275 | 0.3800 | 98304
000282 | 0.5895 | 0.9702 | 0.0292 | 0.3751 | 98304
000283 | 0.4509 | 0.9600 | 0.0295 | 0.3824 | 98304
000284 | 0.5319 | 0.9738 | 0.0296 | 0.3970 | 98304
000285 | 0.6045 | 0.9748 | 0.0290 | 0.3821 | 98304
000286 | 0.4694 | 0.9798 | 0.0270 | 0.3672 | 98304
000287 | 0.5012 | 0.9641 | 0.0285 | 0.3743 | 98304
000288 | 0.4659 | 0.9771 | 0.0270 | 0.3316 | 98304
000289 | 0.4823 | 0.9775 | 0.0292 | 0.3725 | 98304
000290 | 0.4969 | 0.9725 | 0.0262 | 0.3825 | 98304
000291 | 0.5776 | 0.9840 | 0.0291 | 0.3859 | 98304
000292 | 0.5178 | 0.9834 | 0.0285 | 0.3593 | 98304
000293 | 0.5048 | 0.9791 | 0.0292 | 0.3655 | 98304
000294 | 0.4385 | 0.9750 | 0.0274 | 0.3483 | 98304
000295 | 0.4951 | 0.9826 | 0.0288 | 0.3647 | 98304
000296 | 0.4797 | 0.9709 | 0.0266 | 0.3807 | 98304
000297 | 0.4825 | 0.9808 | 0.0286 | 0.3962 | 98304
000298 | 0.5360 | 0.9678 | 0.0280 | 0.3978 | 98304
000299 | 0.5164 | 0.9719 | 0.0291 | 0.3620 | 98304
000300 | 0.5383 | 0.9811 | 0.0282 | 0.3787 | 98304
000301 | 0.3126 | 0.9645 | 0.0283 | 0.3272 | 98304
000302 | 0.5039 | 0.9640 | 0.0277 | 0.3481 | 98304
000303 | 0.4933 | 0.9795 | 0.0285 | 0.3635 | 98304
000304 | 0.5289 | 0.9721 | 0.0276 | 0.3447 | 98304
000305 | 0.5325 | 0.9755 | 0.0278 | 0.3618 | 98304
000306 | 0.4405 | 0.9762 | 0.0292 | 0.3641 | 98304
000307 | 0.5366 | 0.9688 | 0.0285 | 0.3549 | 98304
000308 | 0.4560 | 0.9760 | 0.0283 | 0.3735 | 98304
000309 | 0.5320 | 0.9844 | 0.0266 | 0.3630 | 98304
000310 | 0.4536 | 0.9696 | 0.0282 | 0.3656 | 98304
000311 | 0.5359 | 0.9755 | 0.0270 | 0.3579 | 98304
000312 | 0.2180 | 0.9723 | 0.0289 | 0.2718 | 98304
000313 | 0.5800 | 0.9789 | 0.0274 | 0.3468 | 98304
000314 | 0.4290 | 0.9679 | 0.0298 | 0.3705 | 98304
000315 | 0.5526 | 0.9800 | 0.0285 | 0.3666 | 98304
000316 | 0.5243 | 0.9770 | 0.0275 | 0.3930 | 98304
000317 | 0.5723 | 0.9754 | 0.0280 | 0.3698 | 98304
000318 | 0.5222 | 0.9755 | 0.0289 | 0.3567 | 98304
000319 | 0.4210 | 0.9736 | 0.0273 | 0.3525 | 98304
000320 | 0.4404 | 0.9792 | 0.0268 | 0.3389 | 98304
000321 | 0.5124 | 0.9812 | 0.0285 | 0.3774 | 98304
000322 | 0.5296 | 0.9792 | 0.0282 | 0.3771 | 98304
000323 | 0.5352 | 0.9701 | 0.0289 | 0.3726 | 98304
000324 | 0.5710 | 0.9787 | 0.0272 | 0.3466 | 98304
000325 | 0.4517 | 0.9825 | 0.0270 | 0.3737 | 98304
000326 | 0.5612 | 0.9749 | 0.0292 | 0.3658 | 98304
000327 | 0.2033 | 0.9765 | 0.0284 | 0.2684 | 98304
000328 | 0.5258 | 0.9698 | 0.0284 | 0.3462 | 98304
000329 | 0.4833 | 0.9691 | 0.0282 | 0.3583 | 98304
000330 | 0.5025 | 0.9813 | 0.0277 | 0.3591 | 98304
000331 | 0.5335 | 0.9744 | 0.0287 | 0.3665 | 98304
000332 | 0.5140 | 0.9829 | 0.0292 | 0.3655 | 98304
000333 | 0.5550 | 0.9738 | 0.0283 | 0.3912 | 98304
000334 | 0.4718 | 0.9814 | 0.0275 | 0.3866 | 98304
000335 | 0.5149 | 0.9595 | 0.0272 | 0.3604 | 98304
000336 | 0.5356 | 0.9792 | 0.0281 | 0.3653 | 98304
000337 | 0.5415 | 0.9746 | 0.0290 | 0.3539 | 98304
000338 | 0.5105 | 0.9785 | 0.0276 | 0.3844 | 98304
000339 | 0.4948 | 0.9759 | 0.0297 | 0.3710 | 98304
000340 | 0.5627 | 0.9841 | 0.0288 | 0.3500 | 98304
000341 | 0.4544 | 0.9856 | 0.0289 | 0.3608 | 98304
000342 | 0.5323 | 0.9828 | 0.0266 | 0.3927 | 98304
000343 | 0.4831 | 0.9764 | 0.0282 | 0.3634 | 98304
000344 | 0.5538 | 0.9797 | 0.0282 | 0.3726 | 98304
000345 | 0.5592 | 0.9681 | 0.0277 | 0.3582 | 98304
000346 | 0.4911 | 0.9799 | 0.0259 | 0.4001 | 98304
000347 | 0.5256 | 0.9730 | 0.0289 | 0.3503 | 98304
000348 | 0.4978 | 0.9779 | 0.0283 | 0.3803 | 98304
000349 | 0.5765 | 0.9767 | 0.0283 | 0.3879 | 98304
000350 | 0.5013 | 0.9639 | 0.0277 | 0.3682 | 98304
000351 | 0.4596 | 0.9756 | 0.0271 | 0.3555 | 98304
000352 | 0.5156 | 0.9636 | 0.0277 | 0.3923 | 98304
000353 | 0.4709 | 0.9697 | 0.0283 | 0.3939 | 98304
000354 | 0.5246 | 0.9707 | 0.0276 | 0.3699 | 98304
000355 | 0.4906 | 0.9838 | 0.0272 | 0.3671 | 98304
000356 | 0.4874 | 0.9795 | 0.0274 | 0.3502 | 98304
000357 | 0.4440 | 0.9751 | 0.0277 | 0.3582 | 98304
000358 | 0.4618 | 0.9720 | 0.0288 | 0.3680 | 98304
000359 | 0.4686 | 0.9675 | 0.0275 | 0.3436 | 98304
000360 | 0.5131 | 0.9658 | 0.0297 | 0.3765 | 98304
000361 | 0.4543 | 0.9700 | 0.0290 | 0.3688 | 98304
000362 | 0.4415 | 0.9787 | 0.0284 | 0.3660 | 98304
000363 | 0.4391 | 0.9732 | 0.0277 | 0.3418 | 98304
000364 | 0.5051 | 0.9706 | 0.0281 | 0.3719 | 98304
000365 | 0.5045 | 0.9740 | 0.0272 | 0.3661 | 98304
000366 | 0.5590 | 0.9841 | 0.0276 | 0.3866 | 98304
000367 | 0.5520 | 0.9731 | 0.0277 | 0.3597 | 98304
000368 | 0.6275 | 0.9812 | 0.0282 | 0.3834 | 98304
000369 | 0.4094 | 0.9672 | 0.0272 | 0.3469 | 98304
000370 | 0.3965 | 0.9592 | 0.0289 | 0.3592 | 98304
000371 | 0.2178 | 0.9697 | 0.0281 | 0.2838 | 98304
000372 | 0.4957 | 0.9800 | 0.0280 | 0.3721 | 98304
000373 | 0.4537 | 0.9611 | 0.0278 | 0.3774 | 98304
000374 | 0.4780 | 0.9756 | 0.0292 | 0.3786 | 98304
000375 | 0.4524 | 0.9797 | 0.0266 | 0.3882 | 98304
000376 | 0.5132 | 0.9742 | 0.0283 | 0.3923 | 98304
000377 | 0.5334 | 0.9759 | 0.0278 | 0.3722 | 98304
000378 | 0.4776 | 0.9616 | 0.0284 | 0.3636 | 98304
000379 | 0.5688 | 0.9773 | 0.0284 | 0.3596 | 98304
